ID	Driver	RelativePos	RelativeQuali
2000-British Grand Prix-BAR	Jacques Villeneuve	3	0.747
2000-British Grand Prix-BAR	Ricardo Zonta	-3	-0.747
2000-British Grand Prix-Benneton	Giancarlo Fisichella	2	0.952
2000-British Grand Prix-Benneton	Alexander Wurz	-2	-0.952
2000-British Grand Prix-Ferrari	Michael Schumacher	17	-0.458
2000-British Grand Prix-Ferrari	Rubens Barrichello	-17	0.458
2000-British Grand Prix-Jaguar	Johnny Herbert	1	-0.643
2000-British Grand Prix-Jaguar	Eddie Irvine	-1	0.643
2000-British Grand Prix-Jordan	Jarno Trulli	11	-1.458
2000-British Grand Prix-Jordan	Heinz-Harald Frentzen	-11	1.458
2000-British Grand Prix-McLaren	David Coulthard	1	-0.347
2000-British Grand Prix-McLaren	Mika Hakkinen	-1	0.347
2000-British Grand Prix-Minardi	Marc Gene	1	0.921
2000-British Grand Prix-Minardi	Gaston Mazzacane	-1	-0.921
2000-British Grand Prix-Prost	Jean Alesi	8	0.247
2000-British Grand Prix-Prost	Nick Heidfeld	-8	-0.247
2000-British Grand Prix-Sauber	Mika Salo	3	-0.809
2000-British Grand Prix-Sauber	Pedro Diniz	-3	0.809
2000-British Grand Prix-Williams	Ralf Schumacher	1	-0.053
2000-British Grand Prix-Williams	Jenson Button	-1	0.053
2000-Canadian Grand Prix-Arrows	Jos Verstappen	12	-0.195
2000-Canadian Grand Prix-Arrows	Pedro de la Rosa	-12	0.195
2000-Canadian Grand Prix-BAR	Ricardo Zonta	7	-0.198
2000-Canadian Grand Prix-BAR	Jacques Villeneuve	-7	0.198
2000-Canadian Grand Prix-Benneton	Giancarlo Fisichella	6	0.181
2000-Canadian Grand Prix-Benneton	Alexander Wurz	-6	-0.181
2000-Canadian Grand Prix-Ferrari	Michael Schumacher	1	0.362
2000-Canadian Grand Prix-Ferrari	Rubens Barrichello	-1	-0.362
2000-Canadian Grand Prix-Jaguar	Eddie Irvine	9	-0.546
2000-Canadian Grand Prix-Jaguar	Johnny Herbert	-9	0.546
2000-Canadian Grand Prix-Jordan	Jarno Trulli	15	-0.098
2000-Canadian Grand Prix-Jordan	Heinz-Harald Frentzen	-15	0.098
2000-Canadian Grand Prix-McLaren	Mika Hakkinen	3	-0.448
2000-Canadian Grand Prix-McLaren	David Coulthard	-3	0.448
2000-Canadian Grand Prix-Minardi	Gaston Mazzacane	4	-1.033
2000-Canadian Grand Prix-Minardi	Marc Gene	-4	1.033
2000-Canadian Grand Prix-Prost	Jean Alesi	1	1.168
2000-Canadian Grand Prix-Prost	Nick Heidfeld	-1	-1.168
2000-Canadian Grand Prix-Sauber	Pedro Diniz	8	-0.247
2000-Canadian Grand Prix-Sauber	Mika Salo	-8	0.247
2000-Canadian Grand Prix-Williams	Jenson Button	3	-0.461
2000-Canadian Grand Prix-Williams	Ralf Schumacher	-3	0.461
2000-European Grand Prix-Arrows	Pedro de la Rosa	11	0.166
2000-European Grand Prix-Arrows	Jos Verstappen	-11	-0.166
2000-European Grand Prix-BAR	Ricardo Zonta	2	-1.024
2000-European Grand Prix-BAR	Jacques Villeneuve	-2	1.024
