ID	Driver	RelativePos	Relative_CP
2006-Honda	Rubens Barrichello	-1	-26.0
2006-McLaren	Kimi R<e4>ikk<f6>nen	3	39.0
2006-McLaren	Juan Pablo Montoya	-3	-39.0
2006-MF1 Racing	Tiago Monteiro	1	0.0
2006-MF1 Racing	Christijan Albers	-1	0.0
2006-Red Bull	David Coulthard	5	12.0
2006-Red Bull	Christian Klien	-5	-12.0
2006-Renault	Fernando Alonso	3	62.0
2006-Renault	Giancarlo Fisichella	-3	-62.0
2006-Sauber	Nick Heidfeld	6	16.0
2006-Sauber	Jacques Villeneuve	-6	-16.0
2006-Spyker	Tiago Monteiro	1	0.0
2006-Spyker	Christijan Albers	-1	0.0
2006-Super Aguri	Takuma Sato	2	0.0
2006-Super Aguri	Yuji Ide	-2	0.0
2006-Toro Rosso	Vitantonio Liuzzi	1	1.0
2006-Toro Rosso	Scott Speed	-1	-1.0
2006-Toyota	Ralf Schumacher	2	5.0
2006-Toyota	Jarno Trulli	-2	-5.0
2006-Williams	Mark Webber	3	3.0
2006-Williams	Nico Rosberg	-3	-3.0
2007-Ferrari	Kimi R<e4>ikk<f6>nen	3	16.0
2007-Ferrari	Felipe Massa	-3	-16.0
2007-Honda	Jenson Button	5	6.0
2007-Honda	Rubens Barrichello	-5	-6.0
2007-McLaren	Lewis Hamilton	1	0.0
2007-McLaren	Fernando Alonso	-1	0.0
2007-Red Bull	David Coulthard	2	4.0
2007-Red Bull	Mark Webber	-2	-4.0
2007-Renault	Heikki Kovalainen	1	9.0
2007-Renault	Giancarlo Fisichella	-1	-9.0
2007-Sauber	Nick Heidfeld	1	22.0
2007-Sauber	Robert Kubica	-1	-22.0
2007-Spyker	Adrian Sutil	6	1.0
2007-Spyker	Christijan Albers	-6	-1.0
2007-Super Aguri	Takuma Sato	6	4.0
2007-Super Aguri	Anthony Davidson	-6	-4.0
2007-Toro Rosso	Vitantonio Liuzzi	3	3.0
2007-Toro Rosso	Scott Speed	-3	-3.0
2007-Toyota	Jarno Trulli	3	3.0
2007-Toyota	Ralf Schumacher	-3	-3.0
2007-Williams	Nico Rosberg	2	7.0
2007-Williams	Alexander Wurz	-2	-7.0
2008-Ferrari	Felipe Massa	1	22.0
2008-Ferrari	Kimi R<e4>ikk<f6>nen	-1	-22.0
2008-Force India	Giancarlo Fisichella	1	0.0
2008-Force India	Adrian Sutil	-1	0.0
2008-Honda	Rubens Barrichello	4	8.0
2008-Honda	Jenson Button	-4	-8.0
2008-McLaren	Lewis Hamilton	6	45.0
2008-McLaren	Heikki Kovalainen	-6	-45.0
2008-Red Bull	Mark Webber	5	13.0
2008-Red Bull	David Coulthard	-5	-13.0
2008-Renault	Fernando Alonso	7	42.0
2008-Renault	Nelson Piquet Jr.	-7	-42.0
2008-Sauber	Robert Kubica	2	15.0
2008-Sauber	Nick Heidfeld	-2	-15.0
2008-Super Aguri	Takuma Sato	1	0.0
2008-Super Aguri	Anthony Davidson	-1	0.0
2008-Toro Rosso	Sebastian Vettel	9	31.0
2008-Toro Rosso	Sebastien Bourdais	-9	-31.0
2008-Toyota	Jarno Trulli	1	6.0
2008-Toyota	Timo Glock	-1	-6.0
2008-Williams	Nico Rosberg	2	8.0
2008-Williams	Kazuki Nakajima	-2	-8.0
2009-Brawn	Jenson Button	2	18.0
2009-Brawn	Rubens Barrichello	-2	-18.0
2009-Ferrari	Kimi R<e4>ikk<f6>nen	5	26.0
2009-Ferrari	Felipe Massa	-5	-26.0
2009-Force India	Giancarlo Fisichella	2	3.0
2009-Force India	Adrian Sutil	-2	-3.0
2009-McLaren	Lewis Hamilton	7	27.0
2009-McLaren	Heikki Kovalainen	-7	-27.0
2009-Red Bull	Sebastian Vettel	2	14.5
2009-Red Bull	Mark Webber	-2	-14.5
2009-Renault	Fernando Alonso	12	26.0
2009-Renault	Nelson Piquet Jr.	-12	-26.0
2009-Sauber	Nick Heidfeld	1	2.0
2009-Sauber	Robert Kubica	-1	-2.0
2009-Toro Rosso	S<e9>bastien Buemi	3	4.0
2009-Toro Rosso	Sebastien Bourdais	-3	-4.0
2009-Toyota	Jarno Trulli	2	8.5
2009-Toyota	Timo Glock	-2	-8.5
2009-Williams	Nico Rosberg	13	34.5
2009-Williams	Kazuki Nakajima	-13	-34.5
2010-Ferrari	Fernando Alonso	4	108.0
2010-Ferrari	Felipe Massa	-4	-108.0
2010-Force India	Adrian Sutil	4	26.0
2010-Force India	Vitantonio Liuzzi	-4	-26.0
2010-HRT	Karun Chandhok	1	0.0
2010-HRT	Bruno Senna	-1	0.0
2010-Lotus	Heikki Kovalainen	1	0.0
2010-Lotus	Jarno Trulli	-1	0.0
2010-McLaren	Lewis Hamilton	1	26.0
2010-McLaren	Jenson Button	-1	-26.0
2010-Mercedes	Nico Rosberg	2	70.0
2010-Mercedes	Michael Schumacher	-2	-70.0
2010-Red Bull	Sebastian Vettel	2	14.0
2010-Red Bull	Mark Webber	-2	-14.0
2010-Renault	Robert Kubica	5	109.0
