ID	Driver1	Driver2	PosDriver1	PosDriver2	QualiDriver1	QualiDriver2
2000-Canadian Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	15	-15	-0.098	0.098
2000-Canadian Grand Prix-McLaren	Mika Hakkinen	David Coulthard	3	-3	-0.448	0.448
2000-Canadian Grand Prix-Minardi	Gaston Mazzacane	Marc Gene	4	-4	-1.033	1.033
2000-Canadian Grand Prix-Prost	Jean Alesi	Nick Heidfeld	1	-1	1.168	-1.168
2000-Canadian Grand Prix-Sauber	Pedro Diniz	Mika Salo	8	-8	-0.247	0.247
2000-Canadian Grand Prix-Williams	Jenson Button	Ralf Schumacher	3	-3	-0.461	0.461
2000-European Grand Prix-Arrows	Pedro de la Rosa	Jos Verstappen	11	-11	0.166	-0.166
2000-European Grand Prix-BAR	Ricardo Zonta	Jacques Villeneuve	2	-2	-1.024	1.024
2000-European Grand Prix-Benneton	Giancarlo Fisichella	Alexander Wurz	7	-7	0.681	-0.681
2000-European Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	3	-3	0.56	-0.56
2000-European Grand Prix-Jaguar	Johnny Herbert	Eddie Irvine	5	-5	-0.935	0.935
2000-European Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	1	-1	-0.218	0.218
2000-European Grand Prix-McLaren	Mika Hakkinen	David Coulthard	1	-1	-0.256	0.256
2000-European Grand Prix-Minardi	Gaston Mazzacane	Marc Gene	6	-6	-0.853	0.853
2000-European Grand Prix-Prost	Jean Alesi		-9	9	-2.122	2.122
2000-European Grand Prix-Sauber	Pedro Diniz	Mika Salo	12	-12	0.392	-0.392
2000-European Grand Prix-Williams	Jenson Button	Ralf Schumacher	8	-8	-0.372	0.372
2000-French Grand Prix-Arrows	Pedro de la Rosa	Jos Verstappen	3	-3	0.654	-0.654
2000-French Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	18	-18	1.015	-1.015
2000-French Grand Prix-Benneton	Giancarlo Fisichella	Alexander Wurz	9	-9	0.091	-0.091
2000-French Grand Prix-Ferrari	Rubens Barrichello	Michael Schumacher	13	-13	-0.415	0.415
2000-French Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	8	-8	0.777	-0.777
2000-French Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	1	-1	-0.011	0.011
2000-French Grand Prix-McLaren	David Coulthard	Mika Hakkinen	1	-1	0.316	-0.316
2000-French Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	4	-4	0.172	-0.172
2000-French Grand Prix-Prost	Nick Heidfeld	Jean Alesi	2	-2	0.195	-0.195
2000-French Grand Prix-Sauber	Mika Salo	Pedro Diniz	1	-1	0.138	-0.138
2000-French Grand Prix-Williams	Ralf Schumacher	Jenson Button	3	-3	0.614	-0.614
2000-German Grand Prix-Arrows	Pedro de la Rosa	Jos Verstappen	8	-8	0.535	-0.535
2000-German Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	7	-7	0.544	-0.544
2000-German Grand Prix-Benneton	Alexander Wurz	Giancarlo Fisichella	5	-5	-0.907	0.907
2000-German Grand Prix-Ferrari	Rubens Barrichello	Michael Schumacher	20	-20	-2.481	2.481
2000-German Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	10	-10	-0.227	0.227
2000-German Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	4	-4	1.45	-1.45
2000-German Grand Prix-McLaren	Mika Hakkinen	David Coulthard	1	-1	-1.465	1.465
2000-German Grand Prix-Minardi	Gaston Mazzacane	Marc Gene	5	-5	1.483	-1.483
2000-German Grand Prix-Prost	Nick Heidfeld	Jean Alesi	7	-7	1.599	-1.599
2000-German Grand Prix-Sauber	Mika Salo	Pedro Diniz	13	-13	0.732	-0.732
2000-German Grand Prix-Williams	Jenson Button	Ralf Schumacher	3	-3	-0.374	0.374
2000-Hungarian Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	3	-3	-0.622	0.622
2000-Hungarian Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	2	-2	0.335	-0.335
2000-Hungarian Grand Prix-Benneton	Alexander Wurz	Giancarlo Fisichella	9	-9	-0.652	0.652
2000-Hungarian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	2	-2	0.816	-0.816
2000-Hungarian Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	10	-10	0.948	-0.948
2000-Hungarian Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	1	-1	0.743	-0.743
2000-Hungarian Grand Prix-McLaren	Mika Hakkinen	David Coulthard	2	-2	-0.036	0.036
2000-Hungarian Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	2	-2	0.251	-0.251
2000-Hungarian Grand Prix-Prost	Nick Heidfeld	Jean Alesi	1	-1	-0.855	0.855
2000-Hungarian Grand Prix-Sauber	Mika Salo	Pedro Diniz	9	-9	0.703	-0.703
2000-Hungarian Grand Prix-Williams	Ralf Schumacher	Jenson Button	4	-4	0.378	-0.378
2000-Italian Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	17	-17	-0.006	0.006
2000-Italian Grand Prix-BAR	Ricardo Zonta	Jacques Villeneuve	8	-8	-1.099	1.099
2000-Italian Grand Prix-Benneton	Alexander Wurz	Giancarlo Fisichella	6	-6	-0.361	0.361
2000-Italian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	16	-16	0.027	-0.027
2000-Italian Grand Prix-Jaguar	Johnny Herbert	Eddie Irvine	6	-6	-0.137	0.137
2000-Italian Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	1	-1	0.309	-0.309
2000-Italian Grand Prix-McLaren	Mika Hakkinen	David Coulthard	16	-16	0.323	-0.323
2000-Italian Grand Prix-Minardi	Marc Gene	Gaston Mazzacane	1	-1	1.024	-1.024
2000-Italian Grand Prix-Prost	Jean Alesi	Nick Heidfeld	1	-1	0.067	-0.067
2000-Italian Grand Prix-Sauber	Mika Salo	Pedro Diniz	1	-1	0.002	-0.002
2000-Italian Grand Prix-Williams	Ralf Schumacher	Jenson Button	12	-12	0.391	-0.391
2000-Japanese Grand Prix-Arrows	Pedro de la Rosa	Jos Verstappen	10	-10	0.022	-0.022
2000-Japanese Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	3	-3	1.002	-1.002
2000-Japanese Grand Prix-Benneton	Giancarlo Fisichella	Alexander Wurz	5	-5	-0.131	0.131
2000-Japanese Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	3	-3	0.505	-0.505
2000-Japanese Grand Prix-Jaguar	Johnny Herbert	Eddie Irvine	1	-1	-0.43	0.43
2000-Japanese Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	7	-7	-0.436	0.436
2000-Japanese Grand Prix-McLaren	Mika Hakkinen	David Coulthard	1	-1	0.402	-0.402
2000-Japanese Grand Prix-Minardi	Gaston Mazzacane	Marc Gene	1	-1	-0.49	0.49
2000-Japanese Grand Prix-Prost	Nick Heidfeld	Jean Alesi	3	-3	0.068	-0.068
2000-Japanese Grand Prix-Sauber	Mika Salo	Pedro Diniz	1	-1	0.086	-0.086
2000-Japanese Grand Prix-Williams	Jenson Button	Ralf Schumacher	12	-12	0.16	-0.16
2000-Malaysian Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	10	-10	-0.046	0.046
2000-Malaysian Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	10	-10	0.505	-0.505
2000-Malaysian Grand Prix-Benneton	Alexander Wurz	Giancarlo Fisichella	2	-2	0.743	-0.743
2000-Malaysian Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	2	-2	0.499	-0.499
2000-Malaysian Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	8	-8	0.635	-0.635
2000-Malaysian Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	7	-7	0.079	-0.079
2000-Malaysian Grand Prix-McLaren	David Coulthard	Mika Hakkinen	2	-2	-0.029	0.029
2000-Malaysian Grand Prix-Minardi	Gaston Mazzacane	Marc Gene	4	-4	-1.416	1.416
2000-Malaysian Grand Prix-Prost	Jean Alesi	Nick Heidfeld	10	-10	0.083	-0.083
2000-Malaysian Grand Prix-Sauber	Mika Salo	Pedro Diniz	14	-14	0.93	-0.93
2000-Malaysian Grand Prix-Williams	Ralf Schumacher	Jenson Button	2	-2	0.824	-0.824
2000-Monaco Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	11	-11	0.094	-0.094
2000-Monaco Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	6	-6	0.476	-0.476
2000-Monaco Grand Prix-Benneton	Giancarlo Fisichella	Alexander Wurz	17	-17	0.168	-0.168
2000-Monaco Grand Prix-Ferrari	Rubens Barrichello	Michael Schumacher	10	-10	-0.941	0.941
2000-Monaco Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	5	-5	0.049	-0.049
2000-Monaco Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	5	-5	-0.215	0.215
2000-Monaco Grand Prix-McLaren	David Coulthard	Mika Hakkinen	5	-5	0.353	-0.353
2000-Monaco Grand Prix-Minardi	Gaston Mazzacane	Marc Gene	1	-1	-0.073	0.073
2000-Monaco Grand Prix-Prost	Nick Heidfeld	Jean Alesi	9	-9	-1.523	1.523
2000-Monaco Grand Prix-Sauber	Mika Salo	Pedro Diniz	11	-11	0.575	-0.575
2000-Monaco Grand Prix-Williams	Ralf Schumacher	Jenson Button	7	-7	0.863	-0.863
2000-San Marino Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	2	-2	-0.496	0.496
2000-San Marino Grand Prix-BAR	Jacques Villeneuve	Ricardo Zonta	7	-7	0.69	-0.69
2000-San Marino Grand Prix-Benneton	Alexander Wurz	Giancarlo Fisichella	2	-2	0.972	-0.972
2000-San Marino Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	3	-3	0.437	-0.437
2000-San Marino Grand Prix-Jaguar	Eddie Irvine	Johnny Herbert	3	-3	1.122	-1.122
2000-San Marino Grand Prix-Jordan	Jarno Trulli	Heinz-Harald Frentzen	7	-7	-0.11	0.11
2000-San Marino Grand Prix-McLaren	Mika Hakkinen	David Coulthard	1	-1	0.3	-0.3
2000-San Marino Grand Prix-Minardi	Gaston Mazzacane	Marc Gene	8	-8	0.102	-0.102
2000-San Marino Grand Prix-Prost	Jean Alesi	Nick Heidfeld	1	-1	1.537	-1.537
2000-San Marino Grand Prix-Sauber	Mika Salo	Pedro Diniz	2	-2	-0.098	0.098
2000-San Marino Grand Prix-Williams	Ralf Schumacher	Jenson Button	3	-3	1.264	-1.264
2000-Spanish Grand Prix-Arrows	Jos Verstappen	Pedro de la Rosa	3	-3	-1.447	1.447
